day,Temperature,Humidity,Insolation,week,TempDiff,activity,EnergyConsumption
2021-01-01,-4.61 ,64.92 ,0.87 ,6.00 ,-20.61 ,1.00 ,210.5
2021-01-02,-4.73 ,39.13 ,1.03 ,7.00 ,-20.73 ,1.00 ,394
2021-01-03,-5.63 ,44.42 ,0.80 ,1.00 ,-21.63 ,1.00 ,528.5
2021-01-04,-3.77 ,48.88 ,0.68 ,2.00 ,-19.77 ,0.00 ,231
2021-01-05,-4.84 ,54.25 ,0.95 ,3.00 ,-20.84 ,1.00 ,535.5
2021-01-06,-7.36 ,53.88 ,1.07 ,4.00 ,-23.36 ,1.00 ,555
2021-01-07,-13.82 ,51.21 ,0.85 ,5.00 ,-29.82 ,1.00 ,528.5
2021-01-08,-14.95 ,44.63 ,1.13 ,6.00 ,-30.95 ,1.00 ,531.5
2021-01-09,-12.38 ,45.00 ,1.05 ,7.00 ,-28.38 ,1.00 ,501
2021-01-10,-8.07 ,53.71 ,0.89 ,1.00 ,-24.07 ,1.00 ,473.5
2021-01-11,-6.75 ,62.29 ,0.41 ,2.00 ,-22.75 ,0.00 ,223.5
2021-01-12,-4.37 ,76.96 ,0.56 ,3.00 ,-20.37 ,1.00 ,443.5
2021-01-13,1.68 ,83.21 ,0.75 ,4.00 ,-14.32 ,1.00 ,464.5
2021-01-14,1.61 ,48.25 ,0.93 ,5.00 ,-14.39 ,1.00 ,443
2021-01-15,4.67 ,64.71 ,0.19 ,6.00 ,-11.33 ,1.00 ,458.5
2021-01-16,-4.33 ,59.54 ,1.08 ,7.00 ,-20.33 ,1.00 ,441
2021-01-17,-6.02 ,55.42 ,0.98 ,1.00 ,-22.02 ,1.00 ,451
2021-01-18,-3.26 ,67.29 ,0.41 ,2.00 ,-19.26 ,0.00 ,205
2021-01-19,-6.55 ,38.71 ,1.13 ,3.00 ,-22.55 ,1.00 ,446.5
2021-01-20,-0.69 ,38.46 ,1.08 ,4.00 ,-16.69 ,1.00 ,449
2021-01-21,4.32 ,59.00 ,0.25 ,5.00 ,-11.68 ,1.00 ,454.5
2021-01-22,5.50 ,93.29 ,0.21 ,6.00 ,-10.50 ,1.00 ,478.5
2021-01-23,7.53 ,68.21 ,0.88 ,7.00 ,-8.47 ,1.00 ,438
2021-01-24,7.41 ,62.92 ,1.13 ,1.00 ,-8.59 ,1.00 ,437
2021-01-25,7.83 ,62.13 ,0.98 ,2.00 ,-8.18 ,0.00 ,194.5
2021-01-26,5.77 ,79.00 ,0.18 ,3.00 ,-10.23 ,1.00 ,455.5
2021-01-27,1.88 ,50.29 ,1.13 ,4.00 ,-14.13 ,1.00 ,496.5
2021-01-28,-1.78 ,53.42 ,0.56 ,5.00 ,-17.78 ,1.00 ,453.5
2021-01-29,-8.81 ,39.63 ,1.31 ,6.00 ,-24.81 ,1.00 ,449
2021-01-30,-1.98 ,57.79 ,0.95 ,7.00 ,-17.98 ,1.00 ,432
